"bog","plantX","plantY"
"CB",9636,8936
"CB",9835,9959
"CB",9983,4320
"CB",10668,5459
"CBO",610,9910
"CBO",780,862
"CBO",846,7171
"CBO",858,3889
"CBO",929,8964
"CBO",1008,4780
"CBO",1074,7905
"CBO",1165,6095
"CBO",1437,3142
"CBO",1530,2236
"CBO",1616,932
"CBO",1679,9837
"CBO",1752,6035
"CBO",1892,2667
"CBO",1906,7966
"CBO",2043,4246
"CBO",2054,4483
"CBO",2058,1767
"CBO",2115,7033
"CBO",2163,8837
"CBO",2649,2789
"CBO",2705,3948
"CBO",2824,9436
"CBO",2952,775
"CBO",2982,2078
"CBO",3084,5071
"CBO",3139,5856
"CBO",3271,6748
"CBO",3289,9975
"CBO",3525,8223
"CBO",3551,5719
"CBO",3870,2989
"CBO",3900,1995
"CBO",3921,10258
"CBO",3941,8081
"CBO",3977,5128
"CBO",4016,9129
"CBO",4160,1058
"CBO",4230,3807
"CBO",4475,7067
"CBO",4975,8996
"CBO",4997,10024
"CBO",5000,3010
"CBO",5003,992
"CBO",5003,4957
"CBO",5015,8006
"CBO",5022,6002
"CBO",5026,2077
"CBO",5044,6966
"CBO",5983,7006
"CBO",5984,6017
"CBO",5986,4005
"CBO",5989,8023
"CBO",5997,10076
"CBO",6003,1003
"CBO",6009,2006
"CBO",6023,8960
"CBO",6031,2974
"CBO",6633,5277
"CBO",6670,1000
"CBO",6722,9144
"CBO",6795,8160
"CBO",6958,4267
"CBO",7020,6954
"CBO",7037,2647
"CBO",7130,1708
"CBO",7144,5959
"CBO",7378,7309
"CBO",7802,5904
"CBO",7896,7060
"CBO",7897,1789
"CBO",8091,1062
"CBO",8097,2899
"CBO",8108,4104
"CBO",8134,8851
"CBO",8572,5143
"CBO",8890,1247
"CBO",9000,7090
"CBO",9005,7019
"CBO",9023,1666
"CBO",9067,3099
"CBO",9154,6171
"CBO",9164,10773
"CBO",9184,4154
"CBO",9238,5116
"CBO",9620,1013
"CBO",9772,4057
"CBO",10030,4894
"CBO",10057,6325
"CBO",10215,3223
"CBO",10309,2164
"CBO",10340,7181
"CBO",10615,8176
"CCF",620,846
"CCF",1108,2104
"CCF",1199,6885
"CCF",1230,3433
"CCF",1237,9852
"CCF",1302,5640
"CCF",1319,4022
"CCF",1349,7976
"CCF",1388,4903
"CCF",1450,8904
"CCF",1621,5548
"CCF",1629,7850
"CCF",1718,6612
"CCF",1949,4939
"CCF",2000,1000
"CCF",2000,4000
"CCF",2058,3160
"CCF",2089,2013
"CCF",2129,10018
"CCF",2338,8850
"CCF",2625,6388
"CCF",2780,1619
"CCF",2882,9757
"CCF",2960,9569
"CCF",2979,8098
"CCF",3000,4000
"CCF",3167,970
"CCF",3230,4807
"CCF",3278,2712
"CCF",3402,6821
"CCF",3582,3864
"CCF",3928,7750
"CCF",3929,5219
"CCF",3948,10748
